IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.222.208.38,2083,true,SIN,Asia Pacific,Singapore,242 ms,3688 kB/s
8.210.192.93,2096,true,HKG,Asia Pacific,Hong Kong,62 ms,3682 kB/s
8.219.240.160,2053,true,SIN,Asia Pacific,Singapore,230 ms,3639 kB/s
8.219.229.190,8443,true,SIN,Asia Pacific,Singapore,242 ms,3623 kB/s
47.245.84.124,2053,true,SIN,Asia Pacific,Singapore,236 ms,3570 kB/s
47.237.94.140,8443,true,SIN,Asia Pacific,Singapore,243 ms,3563 kB/s
8.218.122.55,8443,true,HKG,Asia Pacific,Hong Kong,58 ms,3554 kB/s
47.243.169.63,8443,true,HKG,Asia Pacific,Hong Kong,63 ms,3539 kB/s
47.236.10.182,2096,true,SIN,Asia Pacific,Singapore,234 ms,3493 kB/s
8.210.100.23,2096,true,HKG,Asia Pacific,Hong Kong,59 ms,3480 kB/s
8.219.210.57,2087,true,SIN,Asia Pacific,Singapore,242 ms,3454 kB/s
8.219.98.13,8443,true,SIN,Asia Pacific,Singapore,222 ms,3445 kB/s
47.245.84.124,2083,true,SIN,Asia Pacific,Singapore,235 ms,3442 kB/s
8.219.60.54,2096,true,SIN,Asia Pacific,Singapore,266 ms,3435 kB/s
8.219.4.122,8443,true,SIN,Asia Pacific,Singapore,237 ms,3413 kB/s
47.76.77.103,2053,true,HKG,Asia Pacific,Hong Kong,74 ms,3389 kB/s
47.236.180.24,2087,true,SIN,Asia Pacific,Singapore,241 ms,3366 kB/s
8.217.145.40,2087,true,HKG,Asia Pacific,Hong Kong,57 ms,3343 kB/s
8.210.48.107,8443,true,HKG,Asia Pacific,Hong Kong,66 ms,3337 kB/s
47.243.183.127,2087,true,HKG,Asia Pacific,Hong Kong,66 ms,3294 kB/s
8.219.199.220,2053,true,SIN,Asia Pacific,Singapore,247 ms,3273 kB/s
47.236.118.216,8443,true,SIN,Asia Pacific,Singapore,236 ms,3211 kB/s
8.219.229.190,2087,true,SIN,Asia Pacific,Singapore,225 ms,3208 kB/s
47.237.8.82,2087,true,SIN,Asia Pacific,Singapore,240 ms,3177 kB/s
8.219.174.142,2087,true,SIN,Asia Pacific,Singapore,223 ms,3171 kB/s
8.222.156.242,2096,true,SIN,Asia Pacific,Singapore,231 ms,3147 kB/s
47.76.146.1,2087,true,HKG,Asia Pacific,Hong Kong,81 ms,3129 kB/s
8.219.126.240,2087,true,SIN,Asia Pacific,Singapore,241 ms,3094 kB/s
8.219.1.92,2053,true,SIN,Asia Pacific,Singapore,245 ms,3042 kB/s
8.217.164.10,8443,true,HKG,Asia Pacific,Hong Kong,61 ms,3038 kB/s
8.210.39.96,2087,true,HKG,Asia Pacific,Hong Kong,63 ms,3034 kB/s
8.210.21.65,2087,true,HKG,Asia Pacific,Hong Kong,63 ms,3019 kB/s
47.236.237.90,8443,true,SIN,Asia Pacific,Singapore,238 ms,2930 kB/s
8.219.6.150,8443,true,SIN,Asia Pacific,Singapore,240 ms,2915 kB/s
8.217.248.220,8443,true,HKG,Asia Pacific,Hong Kong,63 ms,2902 kB/s
8.210.245.224,8443,true,HKG,Asia Pacific,Hong Kong,62 ms,2900 kB/s
47.236.9.152,8443,true,SIN,Asia Pacific,Singapore,257 ms,2856 kB/s
47.237.8.82,8443,true,SIN,Asia Pacific,Singapore,236 ms,2790 kB/s
47.243.86.79,2053,true,HKG,Asia Pacific,Hong Kong,65 ms,2780 kB/s
47.243.173.187,2053,true,HKG,Asia Pacific,Hong Kong,60 ms,2750 kB/s
47.243.74.220,2096,true,HKG,Asia Pacific,Hong Kong,66 ms,2717 kB/s
8.219.60.54,2087,true,SIN,Asia Pacific,Singapore,243 ms,2710 kB/s
8.219.229.190,2096,true,SIN,Asia Pacific,Singapore,253 ms,2657 kB/s
8.219.83.71,2096,true,SIN,Asia Pacific,Singapore,245 ms,2635 kB/s
8.217.121.207,8443,true,HKG,Asia Pacific,Hong Kong,74 ms,2627 kB/s
8.219.60.54,2083,true,SIN,Asia Pacific,Singapore,238 ms,2613 kB/s
47.236.125.62,2053,true,NRT,Asia Pacific,Tokyo,306 ms,2599 kB/s
47.76.32.108,2096,true,HKG,Asia Pacific,Hong Kong,57 ms,2562 kB/s
8.219.66.156,2087,true,NRT,Asia Pacific,Tokyo,323 ms,2473 kB/s
8.222.214.231,2087,true,SIN,Asia Pacific,Singapore,242 ms,2454 kB/s
8.217.90.154,443,true,HKG,Asia Pacific,Hong Kong,56 ms,2394 kB/s
8.219.104.37,2096,true,SIN,Asia Pacific,Singapore,225 ms,2379 kB/s
8.219.49.65,2087,true,SIN,Asia Pacific,Singapore,246 ms,2362 kB/s
47.243.203.119,8443,true,HKG,Asia Pacific,Hong Kong,58 ms,2352 kB/s
8.219.51.211,2087,true,SIN,Asia Pacific,Singapore,225 ms,2296 kB/s
8.219.0.162,2053,true,SIN,Asia Pacific,Singapore,235 ms,2276 kB/s
47.245.118.70,2083,true,SIN,Asia Pacific,Singapore,259 ms,2260 kB/s
8.219.66.156,8443,true,NRT,Asia Pacific,Tokyo,314 ms,2251 kB/s
8.219.100.168,2053,true,SIN,Asia Pacific,Singapore,241 ms,2204 kB/s
8.222.214.231,2083,true,SIN,Asia Pacific,Singapore,231 ms,2182 kB/s
8.219.240.160,8443,true,SIN,Asia Pacific,Singapore,253 ms,2140 kB/s
47.236.144.48,2087,true,SIN,Asia Pacific,Singapore,239 ms,2127 kB/s
47.236.145.85,2083,true,SIN,Asia Pacific,Singapore,247 ms,2076 kB/s
47.242.59.216,8443,true,HKG,Asia Pacific,Hong Kong,71 ms,2062 kB/s
8.219.139.13,2083,true,SIN,Asia Pacific,Singapore,218 ms,2059 kB/s
8.222.164.209,2096,true,SIN,Asia Pacific,Singapore,240 ms,2031 kB/s
47.242.202.230,8443,true,HKG,Asia Pacific,Hong Kong,81 ms,2025 kB/s
47.243.206.150,2053,true,HKG,Asia Pacific,Hong Kong,68 ms,2019 kB/s
8.218.143.10,2096,true,HKG,Asia Pacific,Hong Kong,71 ms,2012 kB/s
47.242.232.14,2096,true,HKG,Asia Pacific,Hong Kong,80 ms,1977 kB/s
